post_id,username,post_date,caption,media_type,slide_count,like_count,comment_count,view_count,unique_viewers,saved_count,share_count,link_clicks,impression_count,hashtags_list,hashtags_count,hashtags,mentions,caption_entities,sentiment_score_caption,channel,crawled_at
POST_1000,vinfastglobal,2025-02-01,This is a sample caption for post 1000,image,5,4112,124,9644,8018,178,284,11,19318,"['#vinfast', '#mobility', '#electricvehicle', '#car']",4,#vinfast #mobility #electricvehicle #car,,{},0.01,Instagram,2025-04-25 07:44:23.988981
POST_1001,vinfastglobal,2025-02-01,This is a sample caption for post 1001,carousel,9,6973,122,29939,22908,6,86,89,36863,"['#greenfuture', '#ev', '#electricvehicle']",3,#greenfuture #ev #electricvehicle,@vinfast,{},-0.81,Instagram,2025-04-25 07:44:23.989090
POST_1002,vinfast.official,2025-02-01,This is a sample caption for post 1002,video,10,4433,423,3347,2772,142,68,48,4638,"['#mobility', '#electricvehicle', '#greenfuture']",3,#mobility #electricvehicle #greenfuture,@vinfast @evcommunity,{},-0.91,Instagram,2025-04-25 07:44:23.989112
POST_1003,vinfast.official,2025-02-01,This is a sample caption for post 1003,image,4,1754,204,18717,13177,98,88,47,24537,"['#mobility', '#greenfuture']",2,#mobility #greenfuture,@evcommunity @vinfast,{},0.22,Instagram,2025-04-25 07:44:23.989131
POST_1004,vinfastglobal,2025-02-01,This is a sample caption for post 1004,image,8,6316,148,42443,34364,61,171,98,43359,"['#vinfast', '#greenfuture']",2,#vinfast #greenfuture,@vf9,{},-0.87,TikTok,2025-04-25 07:44:23.989148
POST_1005,vinfastglobal,2025-02-01,This is a sample caption for post 1005,carousel,8,6582,462,42629,30116,72,76,31,51826,"['#mobility', '#electricvehicle', '#car']",3,#mobility #electricvehicle #car,@vf9 @evcommunity,{},-0.56,Instagram,2025-04-25 07:44:23.989164
POST_1006,vinfast.official,2025-02-01,This is a sample caption for post 1006,image,1,1896,88,41620,23806,179,221,76,42660,"['#car', '#electricvehicle', '#mobility', '#greenfuture']",4,#car #electricvehicle #mobility #greenfuture,@evcommunity,{},0.72,Instagram,2025-04-25 07:44:23.989179
POST_1007,vinfastglobal,2025-02-01,This is a sample caption for post 1007,carousel,9,4471,403,42506,27759,80,227,20,49939,['#mobility'],1,#mobility,@vf9 @vinfast,{},0.02,Instagram,2025-04-25 07:44:23.989201
POST_1008,vinfast.official,2025-02-01,This is a sample caption for post 1008,carousel,9,3358,88,25004,21081,143,276,0,34817,"['#car', '#vinfast', '#electricvehicle']",3,#car #vinfast #electricvehicle,@vf9,{},-0.52,Instagram,2025-04-25 07:44:23.989217
POST_1009,vinfastglobal,2025-02-01,This is a sample caption for post 1009,image,8,1233,399,35411,29909,37,248,70,38116,"['#electricvehicle', '#mobility', '#car']",3,#electricvehicle #mobility #car,,{},0.86,Instagram,2025-04-25 07:44:23.989232
POST_1010,vinfast.official,2025-02-02,This is a sample caption for post 1010,video,6,7277,470,34419,24202,68,120,8,39958,['#electricvehicle'],1,#electricvehicle,@vinfast @evcommunity,{},-0.99,Instagram,2025-04-25 07:44:23.989262
POST_1011,vinfastglobal,2025-02-02,This is a sample caption for post 1011,image,1,5513,46,34195,20759,176,253,27,43029,"['#mobility', '#electricvehicle']",2,#mobility #electricvehicle,@vf9 @vinfast,{},0.57,TikTok,2025-04-25 07:44:23.989279
POST_1012,vinfastglobal,2025-02-02,This is a sample caption for post 1012,image,2,7162,191,28259,19357,191,32,86,29871,['#car'],1,#car,@vf9 @vinfast,{},-0.5,Instagram,2025-04-25 07:44:23.989304
POST_1013,vinfast.official,2025-02-02,This is a sample caption for post 1013,image,7,3106,152,30818,18873,24,231,70,32422,['#mobility'],1,#mobility,@vinfast @evcommunity,{},0.85,Instagram,2025-04-25 07:44:23.989319
POST_1014,vinfastglobal,2025-02-02,This is a sample caption for post 1014,video,8,7986,119,26782,24267,47,199,0,33178,"['#car', '#greenfuture', '#mobility']",3,#car #greenfuture #mobility,@evcommunity @vf9,{},-0.69,TikTok,2025-04-25 07:44:23.989334
POST_1015,vinfastglobal,2025-02-02,This is a sample caption for post 1015,image,10,8983,41,49519,31747,17,249,64,58220,"['#vinfast', '#electricvehicle']",2,#vinfast #electricvehicle,,{},0.7,Instagram,2025-04-25 07:44:23.989347
