post_id,username,post_date,caption,media_type,slide_count,like_count,comment_count,view_count,saved_count,share_count,hashtags,mentions,location,media_url,crawled_at,total_follower,followers,profile_reach,profile_visit,impression,new_followers
post_0001,brand_id,2025-01-01,Promo Awal Tahun!,carousel,1,515,333,41530,708,188,#sale,@partner_brand,Bandung,http://example.com/media1.jpg,2025-01-02,114182,94996,75167,2043,57880,-4
post_0002,brand_id,2025-01-01,Jangan lewatkan diskon spesial hari ini!,image,1,3490,490,90221,331,72,#promo,,Bandung,http://example.com/media2.jpg,2025-01-02,96208,94996,75167,2043,57880,-4
post_0003,brand_id,2025-01-02,Cek produk terbaru kami!,video,1,836,226,29594,760,196,#promo #newyear #discount,@influencer1,Medan,http://example.com/media3.jpg,2025-01-03,104266,94986,30688,1953,59756,-10
post_0004,brand_id,2025-01-02,Promo Awal Tahun!,carousel,3,3135,203,44242,236,344,#event #2025,@collab,Bali,http://example.com/media4.jpg,2025-01-03,104803,94986,30688,1953,59756,-10
post_0005,brand_id,2025-01-02,Cek produk terbaru kami!,carousel,4,4360,108,66525,933,428,#2025,,Bali,http://example.com/media5.jpg,2025-01-03,116345,94986,30688,1953,59756,-10
post_0006,brand_id,2025-01-03,Promo Awal Tahun!,video,1,1600,105,51204,364,392,#sale,,Jakarta,http://example.com/media6.jpg,2025-01-04,98600,95067,37614,735,65003,81
post_0007,brand_id,2025-01-04,Jangan lewatkan diskon spesial hari ini!,carousel,2,3111,305,32388,764,236,#2025 #event,@partner_brand,Surabaya,http://example.com/media7.jpg,2025-01-05,95127,95022,63527,1574,54401,-45
post_0008,brand_id,2025-01-04,Lihat behind the scene campaign terbaru kami!,video,1,4411,297,65057,953,409,#newyear #sale #event,@influencer1,Surabaya,http://example.com/media8.jpg,2025-01-05,98855,95022,63527,1574,54401,-45
post_0009,brand_id,2025-01-05,Cek produk terbaru kami!,image,1,2149,364,17540,725,170,#2025 #discount #event,@influencer1,Bandung,http://example.com/media9.jpg,2025-01-06,115924,95102,20935,1848,21782,80
post_0010,brand_id,2025-01-06,Cek produk terbaru kami!,carousel,4,4548,263,95549,554,461,#event #promo #2025,@collab,Bali,http://example.com/media10.jpg,2025-01-07,107773,95164,69567,806,99690,62
post_0011,brand_id,2025-01-07,"New Year, New Goals!",image,1,968,94,60882,902,374,#2025 #sale #discount,@collab,Bandung,http://example.com/media11.jpg,2025-01-08,118037,95138,86618,1590,71049,-26
post_0012,brand_id,2025-01-08,Lihat behind the scene campaign terbaru kami!,carousel,1,2897,86,81818,89,279,#sale #promo,@influencer1,Surabaya,http://example.com/media12.jpg,2025-01-09,110350,95188,33183,682,66837,50
post_0013,brand_id,2025-01-08,"New Year, New Goals!",video,1,4340,387,60000,408,99,#promo #sale #2025,@collab,Medan,http://example.com/media13.jpg,2025-01-09,109711,95188,33183,682,66837,50
post_0014,brand_id,2025-01-08,"New Year, New Goals!",image,1,3810,277,33546,874,79,#2025 #sale #event,@collab,Bali,http://example.com/media14.jpg,2025-01-09,116413,95188,33183,682,66837,50
post_0015,brand_id,2025-01-09,Lihat behind the scene campaign terbaru kami!,image,1,2773,230,61388,682,315,#2025 #sale #event,@influencer1,Surabaya,http://example.com/media15.jpg,2025-01-10,115798,95176,87714,1485,46546,-12
post_0016,brand_id,2025-01-09,Lihat behind the scene campaign terbaru kami!,video,1,1212,139,38068,729,217,#promo,,Jakarta,http://example.com/media16.jpg,2025-01-10,95061,95176,87714,1485,46546,-12
post_0017,brand_id,2025-01-09,Lihat behind the scene campaign terbaru kami!,video,1,836,191,80051,173,138,#promo,@influencer1,Bali,http://example.com/media17.jpg,2025-01-10,92215,95176,87714,1485,46546,-12
post_0018,brand_id,2025-01-10,"New Year, New Goals!",image,1,1674,408,56180,607,373,#sale #2025,,Bandung,http://example.com/media18.jpg,2025-01-11,112753,95213,16887,1511,23323,37
post_0019,brand_id,2025-01-11,Promo Awal Tahun!,image,1,4049,473,65156,364,469,#discount,,Surabaya,http://example.com/media19.jpg,2025-01-12,91668,95172,12326,1137,32035,-41
post_0020,brand_id,2025-01-11,Jangan lewatkan diskon spesial hari ini!,image,1,3974,459,53011,226,194,#discount,@partner_brand,Surabaya,http://example.com/media20.jpg,2025-01-12,115283,95172,12326,1137,32035,-41
post_0021,brand_id,2025-01-12,"New Year, New Goals!",image,1,1944,348,43609,674,260,#discount #promo #newyear,@collab,Bali,http://example.com/media21.jpg,2025-01-13,117758,95149,62537,1422,28788,-23
post_0022,brand_id,2025-01-12,Lihat behind the scene campaign terbaru kami!,carousel,5,2295,424,16471,335,216,#sale,@collab,Jakarta,http://example.com/media22.jpg,2025-01-13,115667,95149,62537,1422,28788,-23
post_0023,brand_id,2025-01-12,Promo Awal Tahun!,video,1,3649,466,72652,300,149,#sale #promo,@collab,Bali,http://example.com/media23.jpg,2025-01-13,118534,95149,62537,1422,28788,-23
post_0024,brand_id,2025-01-13,Jangan lewatkan diskon spesial hari ini!,carousel,4,2657,184,91141,606,339,#newyear,@partner_brand,Medan,http://example.com/media24.jpg,2025-01-14,90388,95194,25967,823,84749,45
